CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [main.go:413] CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [util.go:70] log level changed from info to debug (debug=true)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)
[2026-01-12 10:15:50] [--------] [debug] [reconcile.go:159] auth providers unchanged after config update
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/meta/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/ads                  --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/telemetry            --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/telemetry            --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/telemetry            --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/telemetry            --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/telemetry            --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
